"B17021_001E","B17021_001M","B17021_002E","B17021_002M","B17021_003E","B17021_003M","B17021_004E","B17021_004M","B17021_005E","B17021_005M","B17021_006E","B17021_006M","B17021_007E","B17021_007M","B17021_008E","B17021_008M","B17021_009E","B17021_009M","B17021_010E","B17021_010M","B17021_011E","B17021_011M","B17021_012E","B17021_012M","B17021_013E","B17021_013M","B17021_014E","B17021_014M","B17021_015E","B17021_015M","B17021_016E","B17021_016M","B17021_017E","B17021_017M","B17021_018E","B17021_018M","B17021_019E","B17021_019M","B17021_020E","B17021_020M","B17021_021E","B17021_021M","B17021_022E","B17021_022M","B17021_023E","B17021_023M","B17021_024E","B17021_024M","B17021_025E","B17021_025M","B17021_026E","B17021_026M","B17021_027E","B17021_027M","B17021_028E","B17021_028M","B17021_029E","B17021_029M","B17021_030E","B17021_030M","B17021_031E","B17021_031M","B17021_032E","B17021_032M","B17021_033E","B17021_033M","B17021_034E","B17021_034M","B17021_035E","B17021_035M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below poverty level:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Estimate!!Total:!!Income in the past 12 months at or above poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In married couple families:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Male householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!All relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In family households:!!In other families:!!Female householder, no spouse present:!!Non-relatives","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Householder:!!Not living alone","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!In non-family households and other living arrangement:!!Other living arrangement","id","Geographic Area Name"
"521","305","48","77","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","48","77","0","13","0","13","0","13","48","77","473","263","318","239","143","133","143","133","0","13","175","207","175","207","156","200","19","29","0","13","0","13","0","13","155","131","89","56","89","56","0","13","66","120","1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California"
"1365","446","103","86","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","103","86","59","52","59","52","0","13","44","70","1262","436","1038","405","965","392","965","392","0","13","73","116","0","13","0","13","0","13","73","116","51","81","22","35","224","179","113","69","77","63","36","40","111","147","1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California"
"2215","738","294","272","276","273","105","166","105","166","0","13","171","215","32","56","0","13","32","56","139","214","94","146","45","68","18","28","18","28","0","13","18","28","0","13","1921","733","1695","754","1415","684","1359","647","56","66","280","332","108","187","108","187","0","13","172","274","172","274","0","13","226","132","158","98","140","95","18","28","68","80","1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California"
"2925","699","125","116","94","110","94","110","94","110","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","31","36","31","36","19","31","12","19","0","13","2800","697","1655","492","1194","431","1194","431","0","13","461","335","309","251","292","244","17","27","152","197","127","157","25","43","1145","601","654","284","475","259","179","138","491","446","1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California"
"808","266","113","152","99","152","99","152","99","152","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","21","14","21","14","21","0","13","0","13","695","236","478","228","367","206","351","200","16","26","111","118","37","62","37","62","0","13","74","103","74","103","0","13","217","114","162","87","111","82","51","45","55","49","1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California"
"0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California"
"1725","455","14","21","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","21","0","13","0","13","0","13","14","21","1711","453","1465","437","741","305","741","305","0","13","724","506","0","13","0","13","0","13","724","506","632","420","92","104","246","130","186","93","141","88","45","52","60","65","1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California"
"2767","978","307","247","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","307","247","124","119","23","25","101","124","183","211","2460","858","1395","780","1318","768","1318","768","0","13","77","124","0","13","0","13","0","13","77","124","77","124","0","13","1065","469","436","142","231","103","205","112","629","391","1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California"
"1925","362","363","218","98","73","0","13","0","13","0","13","98","73","39","52","21","45","18","28","59","47","59","47","0","13","265","198","18","21","18","21","0","13","247","192","1562","238","941","192","807","183","807","183","0","13","134","81","68","72","62","72","6","14","66","52","54","48","12","19","621","186","356","98","223","81","133","66","265","135","1500000US060855003001","Block Group 1, Census Tract 5003, Santa Clara County, California"
"1846","401","66","50","12","20","12","20","12","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","54","46","17","21","0","13","17","21","37","29","1780","404","1227","327","769","296","734","278","35","46","458","270","194","217","194","217","0","13","264","159","197","115","67","82","553","240","348","117","154","63","194","112","205","133","1500000US060855003002","Block Group 2, Census Tract 5003, Santa Clara County, California"
"1554","230","131","78","28","32","28","32","21","32","7","10","0","13","0","13","0","13","0","13","0","13","0","13","0","13","103","64","25","16","10","11","15","15","78","55","1423","232","1121","249","664","158","664","158","0","13","457","201","238","164","230","162","8","10","219","143","202","133","17","18","302","139","176","68","91","46","85","54","126","94","1500000US060855004001","Block Group 1, Census Tract 5004, Santa Clara County, California"
"1158","250","33","41","28","40","28","40","28","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","5","8","5","8","5","8","0","13","0","13","1125","251","836","255","649","209","637","205","12","19","187","169","153","163","139","158","14","15","34","48","34","48","0","13","289","130","172","65","108","50","64","44","117","79","1500000US060855004002","Block Group 2, Census Tract 5004, Santa Clara County, California"
"986","237","14","23","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","23","9","14","9","14","0","13","5","21","972","238","871","244","745","247","745","247","0","13","126","122","37","85","37","85","0","13","89","87","78","77","11","18","101","72","80","48","64","41","16","26","21","34","1500000US060855005001","Block Group 1, Census Tract 5005, Santa Clara County, California"
"1812","338","347","301","301","301","83","109","83","109","0","13","218","286","218","286","160","231","58","60","0","13","0","13","0","13","46","36","20","19","20","19","0","13","26","29","1465","326","1177","347","1015","335","1004","335","11","18","162","144","89","102","89","102","0","13","73","111","52","79","21","32","288","99","256","86","217","83","39","31","32","29","1500000US060855005002","Block Group 2, Census Tract 5005, Santa Clara County, California"
"862","303","136","125","52","84","52","84","52","84","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","84","94","27","31","8","12","19","28","57","72","726","290","580","294","488","285","488","285","0","13","92","99","53","98","53","98","0","13","39","67","39","67","0","13","146","99","95","58","52","42","43","43","51","51","1500000US060855005003","Block Group 3, Census Tract 5005, Santa Clara County, California"
"824","313","10","16","10","16","0","13","0","13","0","13","10","16","0","13","0","13","0","13","10","16","0","13","10","16","0","13","0","13","0","13","0","13","0","13","814","311","636","286","618","283","602","274","16","25","18","30","0","13","0","13","0","13","18","30","18","30","0","13","178","152","110","72","53","30","57","68","68","84","1500000US060855005004","Block Group 4, Census Tract 5005, Santa Clara County, California"
"973","280","121","143","92","138","92","138","92","138","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","29","42","29","42","0","13","29","42","0","13","852","283","628","215","572","209","572","209","0","13","56","84","0","13","0","13","0","13","56","84","41","62","15","22","224","251","179","244","175","244","4","9","45","54","1500000US060855005005","Block Group 5, Census Tract 5005, Santa Clara County, California"
"1112","606","11","17","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","17","11","17","11","17","0","13","0","13","1101","607","954","611","841","577","841","577","0","13","113","169","113","169","113","169","0","13","0","13","0","13","0","13","147","77","137","75","126","77","11","16","10","16","1500000US060855006001","Block Group 1, Census Tract 5006, Santa Clara County, California"
"739","280","26","42","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","42","0","13","0","13","0","13","26","42","713","274","624","285","624","285","614","282","10","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","89","68","89","68","65","55","24","40","0","13","1500000US060855006002","Block Group 2, Census Tract 5006, Santa Clara County, California"
