"B15012_001E","B15012_001M","B15012_002E","B15012_002M","B15012_003E","B15012_003M","B15012_004E","B15012_004M","B15012_005E","B15012_005M","B15012_006E","B15012_006M","B15012_007E","B15012_007M","B15012_008E","B15012_008M","B15012_009E","B15012_009M","B15012_010E","B15012_010M","B15012_011E","B15012_011M","B15012_012E","B15012_012M","B15012_013E","B15012_013M","B15012_014E","B15012_014M","B15012_015E","B15012_015M","B15012_016E","B15012_016M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Margin of Error!!Total:!!Science and Engineering!!Computers, Mathematics and Statistics","Estimate!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Margin of Error!!Total:!!Science and Engineering!!Biological, Agricultural, and Environmental Sciences","Estimate!!Total:!!Science and Engineering!!Physical and Related Sciences","Margin of Error!!Total:!!Science and Engineering!!Physical and Related Sciences","Estimate!!Total:!!Science and Engineering!!Psychology","Margin of Error!!Total:!!Science and Engineering!!Psychology","Estimate!!Total:!!Science and Engineering!!Social Sciences","Margin of Error!!Total:!!Science and Engineering!!Social Sciences","Estimate!!Total:!!Science and Engineering!!Engineering","Margin of Error!!Total:!!Science and Engineering!!Engineering","Estimate!!Total:!!Science and Engineering!!Multidisciplinary Studies","Margin of Error!!Total:!!Science and Engineering!!Multidisciplinary Studies","Estimate!!Total:!!Science and Engineering Related Fields","Margin of Error!!Total:!!Science and Engineering Related Fields","Estimate!!Total:!!Business","Margin of Error!!Total:!!Business","Estimate!!Total:!!Education","Margin of Error!!Total:!!Education","Estimate!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Margin of Error!!Total:!!Arts, Humanities, and Other!!Literature and Languages","Estimate!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Margin of Error!!Total:!!Arts, Humanities, and Other!!Liberal Arts and History","Estimate!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Margin of Error!!Total:!!Arts, Humanities, and Other!!Visual and Performing Arts","Estimate!!Total:!!Arts, Humanities, and Other!!Communications","Margin of Error!!Total:!!Arts, Humanities, and Other!!Communications","Estimate!!Total:!!Arts, Humanities, and Other!!Other","Margin of Error!!Total:!!Arts, Humanities, and Other!!Other","id","Geographic Area Name"
"88","79","0","13","18","29","0","13","17","27","17","27","18","28","0","13","0","13","0","13","0","13","9","21","0","13","0","13","0","13","9","21","1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California"
"726","263","143","91","39","44","14","23","17","27","101","71","180","169","0","13","19","29","76","81","24","37","23","34","20","32","48","41","22","35","0","13","1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California"
"362","217","20","31","0","13","0","13","70","88","15","25","46","52","0","13","69","60","18","26","0","13","18","28","52","83","0","13","54","64","0","13","1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California"
"1500","450","52","48","244","249","18","28","17","28","206","154","204","120","0","13","187","141","129","98","13","21","87","61","117","88","80","59","117","108","29","46","1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California"
"338","116","48","46","23","27","32","36","49","70","49","57","51","51","0","13","63","42","0","13","0","13","7","11","16","25","0","13","0","13","0","13","1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California"
"82","52","0","13","0","13","3","6","12","22","16","28","0","13","0","13","27","36","24","30","0","13","0","13","0","13","0","13","0","13","0","13","1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California"
"680","235","0","13","0","13","21","29","81","69","165","89","46","55","0","13","0","13","98","82","28","45","78","70","44","62","69","67","29","45","21","37","1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California"
"1502","468","208","243","274","311","83","76","19","24","191","129","158","107","9","14","42","41","238","187","53","85","99","79","15","20","108","75","5","11","0","13","1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California"
"1066","232","134","79","51","32","23","28","60","44","148","64","74","62","7","11","71","70","157","64","19","29","62","49","60","53","88","60","43","35","69","42","1500000US060855003001","Block Group 1, Census Tract 5003, Santa Clara County, California"
"977","299","48","31","77","48","23","26","56","37","80","43","82","47","12","20","38","35","131","78","28","24","42","35","64","51","190","227","86","62","20","21","1500000US060855003002","Block Group 2, Census Tract 5003, Santa Clara County, California"
"573","202","68","45","33","22","31","20","25","25","44","30","77","47","25","31","13","15","69","36","17","16","45","38","62","78","4","7","33","31","27","26","1500000US060855004001","Block Group 1, Census Tract 5004, Santa Clara County, California"
"552","122","100","59","43","37","56","41","18","16","116","51","30","20","12","13","6","9","30","25","16","14","11","11","57","31","28","18","12","12","17","25","1500000US060855004002","Block Group 2, Census Tract 5004, Santa Clara County, California"
"591","188","72","47","44","36","54","40","36","36","16","25","60","47","9","15","36","32","119","66","11","18","49","48","49","52","15","25","21","24","0","13","1500000US060855005001","Block Group 1, Census Tract 5005, Santa Clara County, California"
"800","284","138","82","75","64","59","51","15","17","111","89","83","54","0","13","11","16","112","103","18","20","61","44","23","20","7","12","33","31","54","65","1500000US060855005002","Block Group 2, Census Tract 5005, Santa Clara County, California"
"324","111","16","22","21","33","18","22","29","36","22","25","53","41","0","13","3","6","66","57","34","34","10","16","21","17","19","17","12","23","0","13","1500000US060855005003","Block Group 3, Census Tract 5005, Santa Clara County, California"
"513","205","22","21","55","69","0","13","49","34","68","50","63","37","39","49","44","46","129","100","9","15","11","15","10","17","14","24","0","13","0","13","1500000US060855005004","Block Group 4, Census Tract 5005, Santa Clara County, California"
