"B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more","id","Geographic Area Name"
"214","111","0","13","0","13","16","27","17","26","22","35","0","13","18","28","0","13","54","88","0","13","0","13","32","36","17","27","18","29","20","33","0","13","1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California"
"485","128","39","43","38","43","20","33","0","13","0","13","0","13","0","13","0","13","0","13","16","27","0","13","77","60","17","27","19","31","38","41","221","108","1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California"
"657","170","0","13","93","104","18","28","0","13","67","82","51","74","18","28","80","94","0","13","21","33","36","43","53","84","47","58","63","78","110","78","0","13","1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California"
"1333","320","46","54","19","31","21","35","19","31","19","29","0","13","18","29","0","13","0","13","59","61","19","32","72","65","102","95","224","125","208","146","507","291","1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California"
"386","110","34","52","14","21","11","20","0","13","0","13","0","13","11","20","21","34","14","24","0","13","74","81","30","43","10","16","30","35","71","63","66","49","1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California"
"0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California"
"536","121","0","13","0","13","0","13","0","13","0","13","7","16","0","13","0","13","37","61","49","50","18","23","112","77","94","77","1","16","122","75","96","58","1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California"
"1046","258","23","25","0","13","0","13","0","13","0","13","11","18","0","13","0","13","13","22","0","13","13","21","173","145","63","69","253","110","113","67","384","230","1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California"
"769","109","27","25","0","13","0","13","9","14","21","25","19","30","18","28","19","31","12","18","7","10","41","33","73","47","79","47","37","30","206","89","201","70","1500000US060855003001","Block Group 1, Census Tract 5003, Santa Clara County, California"
"771","158","6","11","0","13","13","24","26","25","0","13","14","20","8","13","0","13","34","28","12","19","36","29","220","148","57","36","52","34","136","56","157","71","1500000US060855003002","Block Group 2, Census Tract 5003, Santa Clara County, California"
"581","80","20","20","0","13","40","29","5","8","7","9","33","25","28","28","15","23","7","10","33","34","17","20","112","58","44","34","50","28","68","39","102","43","1500000US060855004001","Block Group 1, Census Tract 5004, Santa Clara County, California"
"468","102","7","9","5","8","0","13","0","13","20","27","0","13","5","9","0","13","17","25","22","26","60","68","104","47","28","16","40","40","45","43","115","39","1500000US060855004002","Block Group 2, Census Tract 5004, Santa Clara County, California"
"393","79","9","14","0","13","15","25","12","20","0","13","7","12","0","13","8","12","0","13","0","13","19","23","31","29","14","13","103","68","38","25","137","61","1500000US060855005001","Block Group 1, Census Tract 5005, Santa Clara County, California"
"790","115","11","18","88","72","23","26","23","25","32","46","0","13","45","41","15","23","0","13","6","10","10","15","82","52","101","87","56","43","121","79","177","83","1500000US060855005002","Block Group 2, Census Tract 5005, Santa Clara County, California"
"316","89","8","12","19","28","0","13","59","70","19","32","0","13","0","13","13","23","0","13","0","13","8","14","15","19","0","13","31","36","56","44","88","46","1500000US060855005003","Block Group 3, Census Tract 5005, Santa Clara County, California"
"301","99","0","13","0","13","0","13","12","20","0","13","0","13","0","13","0","13","15","23","0","13","8","14","14","18","47","65","17","26","36","33","152","69","1500000US060855005004","Block Group 4, Census Tract 5005, Santa Clara County, California"
"413","233","0","13","46","47","0","13","0","13","0","13","10","16","0","13","0","13","0","13","16","26","46","49","6","9","157","242","10","16","30","27","92","46","1500000US060855005005","Block Group 5, Census Tract 5005, Santa Clara County, California"
"418","136","11","17","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","25","91","80","6","9","70","66","27","26","199","124","1500000US060855006001","Block Group 1, Census Tract 5006, Santa Clara County, California"
"262","80","0","13","0","13","0","13","0","13","0","13","30","35","0","13","0","13","0","13","0","13","0","13","0","13","15","25","56","46","40","48","121","68","1500000US060855006002","Block Group 2, Census Tract 5006, Santa Clara County, California"
"990","144","15","24","36","40","11","19","12","20","36","33","12","21","0","13","13","23","17","28","57","54","85","92","31","34","90","91","171","115","157","104","247","118","1500000US060855006003","Block Group 3, Census Tract 5006, Santa Clara County, California"
"604","169","57","90","19","31","19","32","39","46","44","58","0","13","16","25","0","13","0","13","41","46","110","117","46","44","43","49","28","35","86","72","56","43","1500000US060855006004","Block Group 4, Census Tract 5006, Santa Clara County, California"
"834","152","39","28","115","68","72","63","47","52","0","13","17","26","32","49","0","13","7","12","57","40","81","68","20","19","104","68","8","13","128","95","107","62","1500000US060855008001","Block Group 1, Census Tract 5008, Santa Clara County, California"
"791","148","39","46","16","25","0","13","0","13","0","13","45","72","0","13","0","13","0","13","9","14","17","19","102","77","59","42","37","28","124","69","343","96","1500000US060855008002","Block Group 2, Census Tract 5008, Santa Clara County, California"
"651","129","71","73","83","61","18","22","0","13","0","13","10","15","0","13","0","13","0","13","0","13","9","13","35","46","116","62","53","45","58","34","198","83","1500000US060855008003","Block Group 3, Census Tract 5008, Santa Clara County, California"
"507","156","51","40","135","143","66","56","10","15","0","13","10","16","43","37","19","14","0","13","38","49","22","17","46","36","56","51","0","13","0","13","11","17","1500000US060855009011","Block Group 1, Census Tract 5009.01, Santa Clara County, California"
"1079","152","104","62","24","28","7","12","0","13","13","18","10","15","0","13","0","13","8","13","37","29","10","15","68","43","74","45","170","114","185","76","369","94","1500000US060855009012","Block Group 2, Census Tract 5009.01, Santa Clara County, California"
"579","100","82","57","0","13","30","32","0","13","21","22","23","26","9","13","27","31","51","43","21","24","89","61","67","49","68","46","30","37","41","37","20","23","1500000US060855009013","Block Group 3, Census Tract 5009.01, Santa Clara County, California"
